REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,
scalatra,148,closed,1,2011-12-18 05:18:12,606.98,1,,,"b""b' Still would like to understand why contextPath is null in an async request"," which could clean up the implementation.  But the bug is fixed and the crap is wrapped.'""",,,,,
scalatra,148,closed,2,2011-12-18 05:18:12,727.13,,1,,"b'b"" It seems to me like this could still be an issue. I\'m using and seeing that the callback runs synchronously", before the async action has completed.  I\'m wondering if this fix is specific to Akka," or if it fixes the general case when just using Scala futures.""'",,,,
scalatra,148,closed,-,-,-,1,3,0,,,,,,,
scalatra,158,closed,opened,2012-02-22 10:06:43,,,,,,,,,,,
scalatra,158,closed,title,2012-02-22 10:06:43,00:00,,1,,"b""b' CookieSupport ignores HttpOnly (2.0.3)'""",,,,,,
scalatra,158,closed,body,2012-02-22 10:06:43,00:00,,1,,b'b\'  has the httpOnly attribute, but it does not work as required.  In detail," SweetCookies#update should append ""; HttpOnly"" if CookieOptions#httpOnly is true"," but it is ignored. CookieSupport still depends on servlet-api 2.5.  And I think there is no other way but using HttpServletResponse#addHeader(""Set-Cookie""","...; HttpOnly""). If this approach isn\\\'t bad, I\\\'ll send a pull request.  Can you please check on it? Thanks.\''
scalatra	158	closed	1	casualjim	2012-02-22 10:06:43	199.75		+1		b""b' There is a way around it with the cookie support. '",,
scalatra,158,closed,2,2012-02-22 10:06:43,8.98,,,1,"b'b"" Oh"," it\'s a better way. Thank you so much. :)""'",,,,,
scalatra,158,closed,closed,2012-02-22 16:21:45,375.03,0,3,1,,,,,,,
scalatra,158,closed,3,2012-02-22 10:06:43,166.37,1,,,"b""b' Sorry"," I missed this issue already has been fixed in develop branch.'""",,,,,
scalatra,158,closed,4,2012-02-22 10:06:43,6.9,,1,,"b""b' Is this something Book needs updated to reflect for 2.0 or is it resolved in 2.0.4?'""",,,,,,
scalatra,158,closed,5,2012-02-22 10:06:43,4.33,,1,,"b""b' should be resolved'""",,,,,,
scalatra,158,closed,reopened,2012-04-24 08:05:34,943.82,1,5,1,,,,,,,
scalatra,158,closed,closed,2012-04-26 20:54:26,768.87,1,5,1,,,,,,,
scalatra,158,closed,-,-,-,1,5,1,,,,,,,
scalatra,166,closed,opened,2012-03-23 08:23:25,,,,,,,,,,,
scalatra,166,closed,title,2012-03-23 08:23:25,00:00,,1,,"b""b' for some responses the http testers fails'""",,,,,,
scalatra,166,closed,body,2012-03-23 08:23:25,00:00,,1,,"b'b"" Our app returns the following bits in the logs: And the specs2 spec fails with: This issue doesn\'t exist before the dropping of the _2.9.1 classifier of 2.1.0-SNAPSHOT""'",,,,,,
scalatra,166,closed,1,2012-03-23 08:23:25,3.72,,1,,"b""b' the line that fails in "," is where it reads the reason:  '""",,,,,
scalatra,166,closed,closed,2012-03-23 08:27:28,4.05,0,3,0,,,,,,,
scalatra,166,closed,2,2012-03-23 08:23:25,0.38,,1,,"b""b' my previous comment resolves the issue :)'""",,,,,,
scalatra,166,closed,reopened,2012-03-23 08:35:26,7.97,0,4,0,,,,,,,
scalatra,166,closed,3,2012-03-23 08:23:25,8.15,,1,,"b'b"" It\'s an issues in the ResponseStatus implementation of scalatra"," will fix""'",,,,,
scalatra,166,closed,closed,2012-03-23 08:51:09,15.72,0,5,0,,,,,,,
scalatra,166,closed,-,-,-,0,5,0,,,,,,,
scalatra,251,closed,opened,2013-01-12 08:45:34,,,,,,,,,,,
scalatra,251,closed,title,2013-01-12 08:45:34,00:00,,1,,"b""b' NoSuchMethodError ();'""",,,,,,
scalatra,251,closed,body,2013-01-12 08:45:34,00:00,,1,,"b'b\' I get the following error when trying to return JSON from my controller. The controller is inheriting  ""with JacksonJsonSupport with JValueResult"" full error stack is  \''",,,,,,
scalatra,251,closed,1,2013-01-12 08:45:34,0.98,,1,,"b""b' I am using 2.2.0-SNAPSHOT with 2.10.0'""",,,,,,
scalatra,251,closed,closed,2013-01-12 08:46:33,0.98,0,3,0,,,,,,,
scalatra,251,closed,reopened,2013-01-12 08:46:45,0.2,0,3,0,,,,,,,
scalatra,251,closed,2,2013-01-12 08:45:34,393.82,1,,,"b'b"" How is your Scalatra dependency declared?  The Scala 2.10 build uses the cross build conventions: If you have instead of  ", then you get the build for 2.9," which could cause a problem similar to this.  (This is confusing.  We don\'t like it either.  I recently updated the g8 prototype to try to do the right thing for both Scala versions.)""'",,,,
scalatra,251,closed,3,2013-01-12 08:45:34,205.63,,1,,"b""b' I declared it like this  based on instructions I got from url  but i changed it to  and that seems to have fixed the issue and the controller is now able to return JSON however the request is being made with a JSONP callback and that is getting ignored any ideas how to make that work? Do you know why exactly it happened re my sbt definitions?'""",,,,,,
scalatra,251,closed,4,2013-01-12 08:45:34,57.83,,1,,"b'b"" The implies (as opposed to  ", which implies  ).  It is necessary because the artifact ID has a suffix to distinguish it from the build for Scala 2.9.  The most succinct way to write it is the same as what you have, but remove the redundant CrossVersion. I\'ll update the website.  Thanks for pointing out the mistake. I\'m not the JSONP expert," so I\'ll leave this open for someone else to address that.""'",,,
scalatra,251,closed,5,2013-01-12 08:45:34,5.5,,,1,"b""b' Great"," thanks for your help.I got the JSONP issue working adding this to my controller Thanks again for your help.'""",,,,,
scalatra,251,closed,closed,2013-01-12 19:49:21,662.6,1,5,1,,,,,,,
scalatra,251,closed,6,2013-01-12 08:45:34,998.2,,1,,"b'b"" I think this is a bug. should not throw even if the contentType is unknown. The problem is easy to reproduce: The code above throws an exception: The current behavior of makes it impossible to serve e.g. files with certain content-types. I don\'t think this is intended?""'",,,,,,
scalatra,251,closed,7,2013-01-12 08:45:34,1367.15,,1,,"b""b' We fixed this bug in 2.3"," maybe this needs a backport? I think you also have to register the extension for xls to point to that mime type. in your constructor you can call: I think that will make the error go away too.'""",,,,,
scalatra,251,closed,-,-,-,1,7,1,,,,,,,
scalatra,278,closed,opened,2013-07-22 19:03:56,,,,,,,,,,,
scalatra,278,closed,title,2013-07-22 19:03:56,00:00,,1,,"b""b' Scalatra ignores Swagger ApiClass and ApiProperty annotations'""",,,,,,
scalatra,278,closed,body,2013-07-22 19:03:56,00:00,,1,,"b'b"" According to this pull request: url  You should be able to set description and allowableValues via ApiProperty", but when I try to do so with 2.2.2-SNAPSHOT it doesn\'t work.  I made a test case in the repo here: url  The Readme has a bit more info on the test.  Ideally I would want other fields in ApiProperty to work as well (i.e. required) and ApiClass to add descriptions to the models.  The pull request doesn\'t mention them so I\'m assuming those properties aren\'t implemented," but since it doesn\'t seem to be working at all I would like to know what might be wrong with the current implementation or figure out if I\'m doing something wrong before tackling that.""'",,,,
scalatra,278,closed,1,2013-07-22 19:03:56,314.17,,1,,"b""b' check this one out. url '""",,,,,,
scalatra,278,closed,closed,2013-07-23 00:18:06,314.17,0,3,0,,,,,,,
scalatra,278,closed,2,2013-07-22 19:03:56,860.82,,1,,"b'b"" Hey", I used that page to set up the example I linked in my issue above, I don\'t have any problems with any processes described on that page.  But there is no discussion there about using ApiClass and ApiProperty annotations on your models to change swagger\'s default fields.  The only place I saw any mention of it was in the github issue I l inked above, which according to it should allow you to use the ApiProperty to modify at least some of the swagger data on the model, the issue is that I\'ve been unable to do so even though that PR was merged into the codebase," the details of the issue or in the test case I\'ve linked to above as well.""'",
scalatra,278,closed,3,2013-07-22 19:03:56,698.33,,1,,"b'b"" I\'m having the same issue; I\'m using ApiProperty to add descriptions to my model fields"," but that data isn\'t making it into the swagger data for the models.""'",,,,,
scalatra,278,closed,reopened,2013-07-26 02:23:13,125.12,0,5,0,,,,,,,
