REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,
octopress,107,closed,17,2011-08-20 18:54:41,37.38,,,1,"b'b"" @jeje If you can do  it that\'d be fantastic.""'",,,,,,,,,,,,,,,
octopress,107,closed,18,2011-08-20 18:54:41,1279.07,,1,,"b'b"" I\'ve updated quite a bit my previous work: now there is no dependency on s3cmd anymore. The usage is quite simple: fill in the file with your AWS credentials", choose if you\'d like to deploy to S3 or CloudFront (update with either or  ). Then all you\'ve got to do manually is to set the website configuration of your S3 bucket (enable it and set index document to  ) and finally to set your DNS zone appropriately. If this implementation fits everybody," I\'ll post a new blog entry describing how to do this.""'",,,,,,,,,,,,,
octopress,107,closed,19,2011-08-20 18:54:41,796.38,,,1,"b'b"" This looks great"," though I\'ll probably make a few changes. What do you think about having a generic  config which users can generate with a rake task like this or This would create a  file with the variables already set up for them to fill in. This would be gitignored to prevent them from accidentally committing this sensitive information to their repos. I\'m doing something similar on this topic It seems like it might be better to make this more generic to serve S3 users as well. What do you think?""'",,,,,,,,,,,,,,
octopress,107,closed,20,2011-08-20 18:54:41,145.6,,1,,"b""b' I saw that branch but was waiting for it to be ready :)This is why I put the AWS credentials in instead of BTW. So in this case we would load the configuration data from a file (git-ignored too) or something like that? Otherwise I totally agree with you. I would only add one more task:  . How do you want to proceed in order to sync my work with yours?'""",,,,,,,,,,,,,,,
octopress,107,closed,21,2011-08-20 18:54:41,65.13,,1,,"b""b' Hi @imathis"," any update on this issue?'""",,,,,,,,,,,,,,
octopress,107,closed,22,2011-08-20 18:54:41,374.05,,,1,"b'b"" Hi @jeje", I\'ve been super busy lately," as I just moved from North Carolina to Alabama (with a three week old little girl). I\'m expecting to get this merged in and sorted as soon as I have the time to sit down for long enough :) Thanks for your patience everyone.""'",,,,,,,,,,,,,
octopress,107,closed,23,2011-08-20 18:54:41,1295.98,,,1,"b""b' Thanks for the update. I can easily understand how busy you must be :)'""",,,,,,,,,,,,,,,
octopress,107,closed,24,2011-08-20 18:54:41,543.08,,,1,"b""b' Hi again @imathis :) Any more work needed to be done in order to get this pull request merged?'""",,,,,,,,,,,,,,,
octopress,107,closed,closed,2011-09-23 20:27:02,92.35,1,12,13,,,,,,,,,,,,,,,,
octopress,107,closed,reopened,2011-09-23 20:27:06,0.07,1,12,13,,,,,,,,,,,,,,,,
octopress,107,closed,25,2011-08-20 18:54:41,40.03,,1,,"b'b"" This is part of the next release. @fhemberger and I are working on improving the way deployment and configurations are managed as a whole"," and we\'ll be releasing this feature as a part of that work.""'",,,,,,,,,,,,,,
octopress,107,closed,26,2011-08-20 18:54:41,56.25,,,1,"b""b' Great! Let me know if I can help you.'""",,,,,,,,,,,,,,,
octopress,107,closed,27,2011-08-20 18:54:41,1.8,,,1,"b'b"" Excellent! I\'ll let you know when I have a stable version so you can test things out for me.""'",,,,,,,,,,,,,,,
octopress,107,closed,28,2011-08-20 18:54:41,5.67,,1,,"b""b' (Psst", hint: If you want to have a first look at the **unstable** dev branch," check out branch  . Maybe you want to help us integrate your work there?)'""",,,,,,,,,,,,,
octopress,107,closed,29,2011-08-20 18:54:41,766.7,,,1,"b'b"" I\'ve begin some work based on this branch:url  I\'m having an issue though.I ran  ", filled in the appropriate values.The file is properly generated.But when I run for testing," I have the following output: Did I miss something?""'",,,,,,,,,,,,,
octopress,107,closed,30,2011-08-20 18:54:41,23.37,,,1,"b'b"" Looks like this line is missing in your _: After running setup_amazon"," this line should be The task runs the method (in this case this should be  . **EDIT**: Just pushed an update so this error shouldn\'t occur anymore if cannot be found in _""'",,,,,,,,,,,,,,
octopress,107,closed,31,2011-08-20 18:54:41,28.63,,1,,"b'b"" I do have set to in my after I ran  .This is why I can\'t figure out what\'s wrong. Sounds like the value is not given properly (empty instead of  ) and then of course the appropriate method can\'t be found. _EDIT_: Tested this against your last commit. Same result"," as I expected.""'",,,,,,,,,,,,,,
octopress,107,closed,32,2011-08-20 18:54:41,9.03,,1,,"b'b"" Sounds like the issue comes from deploy task"," especially this code: I\'ve modified the Rakefile locally in order to have instead: When I run I now have the following output:  ""'",,,,,,,,,,,,,,
octopress,107,closed,33,2011-08-20 18:54:41,4.65,,1,,"b""b' Fixed.'""",,,,,,,,,,,,,,,
octopress,107,closed,34,2011-08-20 18:54:41,12.4,,,1,"b'b"" Ok. Thanks. Was not sure I could simply get rid of that stuff :)I\'ll keep working on the AWS stuff. Shouldn\'t be long"," I guess...""'",,,,,,,,,,,,,,
octopress,107,closed,35,2011-08-20 18:54:41,24.3,,1,,"b""b' Quick question: how do you test the deploy tasks?Should I migrate my own blog to this unstable branch and try it out or is there a better way?'""",,,,,,,,,,,,,,,
octopress,107,closed,36,2011-08-20 18:54:41,3.83,,1,,"b""b' Closing this pull request and switching the discussion to a new one: #175'""",,,,,,,,,,,,,,,
octopress,107,closed,closed,2011-09-24 12:43:42,976.6,1,19,18,,,,,,,,,,,,,,,,
octopress,107,closed,-,-,-,1,19,18,,,,,,,,,,,,,,,,
octopress,108,closed,opened,2011-08-20 22:15:35,,,,,,,,,,,,,,,,,,,,
octopress,108,closed,title,2011-08-20 22:15:35,00:00,,1,,"b""b' Force language in the codeblock tag'""",,,,,,,,,,,,,,,
