REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,300,closed,22,2011-03-14 21:59:54,871.77,,,1,"b'b"" Hey Chris", 1) Sometimes it works, sometimes it doesn\'t2) _\'Should\'_ but definitely not always. Actually not very often at all.3) Probably the most useful command of them all. Thank the lord for manual overrides :) As for a _\'bug\'_, well that depends purely on the intended operations of Compass along with the definition for bug. With force there is an alternative way so it\'s not end of the world stuff but whenever there\'s inconsistencies and a lot of \'should\'s it generally points to something being amiss. I\'d certainly prefer it to be consistent but like I said," as long as I can force it to work then it\'s not killer.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,300,closed,23,2011-03-14 21:59:54,637.02,,1,,"b'b"" @ijy I need you to provide steps to reproduce that a change to the config doesn\'t cause a clean on the next compilation. I showed you the steps I was taking. Do those steps work or not for you?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,300,closed,24,2011-03-14 21:59:54,1308.75,,1,,"b""b' closing this since no updates in 6 months'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,300,closed,closed,2012-03-15 18:49:31,266.72,7,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,300,closed,25,2011-03-14 21:59:54,22.37,,1,,"b""b' Compass now does an automatic clean when compiling or starting the watcher if the config file is newer than any of the generated css files.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,300,closed,26,2011-03-14 21:59:54,1109.7,,1,,"b'b"" still having troubles with this issue on win7. Chris\' solution didn\'t work for me.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,300,closed,27,2011-03-14 21:59:54,472.48,,,1,"b'b\' I\\\'m having this issue I\\\'ll try to be as detailed as possible so that this is in some way reproducible.I just wiped my entire computer yesterday and reinstalled everything from scratch. Ruby: ruby 2.0.0p247 (2013-06-27 revision 41674) [-darwin13]Compass: Compass 0.12.3 (Alnilam) I\\\'m working on a site locally with MAMP. Here\\\'s the directory structure pictured alongside my  file.![screen shot 2014-03-06 at 21 37 26]url  What happens is I go to _ and I run ""compass watch"" and what results are whatever settings have been cached before"," . If I run ""compass init"" it tosses ","  and  in the /scss directory and the same three files ending in .css in the /css folder.If I run ""compass compile force""", the settings in my  file are respected but the benefit of watch, as I understand it, is that my changes will be reflected on the fly, as I make changes to the scss and save them. The style changes are compiled correctly, but always with all the line comments," no matter how many times I run ""force"". Plz halp!\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,300,closed,28,2011-03-14 21:59:54,474.5,,1,,b'b\' Is there a way to simply tell compass, similar to bash," to just source a file? Something like ""compass reload ""?\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,300,closed,29,2011-03-14 21:59:54,148.12,,1,,"b'b"" I don\'t have this issue"," but just curious does it still occur if you tell it the path to your config file? e.g:  ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,300,closed,30,2011-03-14 21:59:54,152.7,,1,,"b""b' Compass requires you to restart the watcher if you change your configuration. If it detects any css files are older than the configuration file"," it runs a before the first compile.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,300,closed,31,2011-03-14 21:59:54,315.75,,1,,"b""b' I just upgraded from ruby 2.0.0 to 2.2.2 (via rvm) and had to gem install compass again. When I run compass now it ignores my  file (even if I  ). Specifically it writes css files to the same directory that scss files are in (where  denotes and  ).'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,300,closed,-,-,-,7,20,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,opened,2011-03-26 22:48:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,title,2011-03-26 22:48:16,00:00,,1,,"b""b' Images module makes it difficult to differentiate for CSS2'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,body,2011-03-26 22:48:16,00:00,,,1,"b""b' Consider: The output is:  So CSS2 browsers see now! Obviously this can cause a problem\\xe2\\x80\\xa6 and the\\xc2\\xa0\\xe2\\x80\\x9cfix\\xe2\\x80\\x9d would be to pass  the color but this actually changes the meaning of the CSS3 styles quite a bit.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,1,2011-03-26 22:48:16,291.48,,1,,"b""b' It is a conundrum. I have an idea.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,2,2011-03-26 22:48:16,1.75,,,1,"b""b' Great"," looking forward to it\\xe2\\x80\\xa6 my na\\xc3\\xafve hope would be for the images module to simply stop emitting the plain \\xe2\\x80\\x9c \\xe2\\x80\\x9d line altogether.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,3,2011-03-26 22:48:16,23.18,,1,,"b""b' Don&#39;t output transparent in css2 ouput. Closed by 119ce9d018ef25bf08531114ce22307306dfc212'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,closed,2011-03-28 04:04:41,316.42,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,4,2011-03-26 22:48:16,3.38,1,,,"b""b' Now that same input will print out: Messy but functional.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,5,2011-03-26 22:48:16,4.35,,,1,"b""b' Cheers. Seems like this would still make it quite difficult", or impossible, to specify different non-transparent background colors for CSS2 and CSS3, respectively," though. Thoughts?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,6,2011-03-26 22:48:16,39.72,,1,,"b'b"" I don\'t understand why someone would want to do that.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,7,2011-03-26 22:48:16,700.58,,1,,"b'b"" I reverted this changeset", is a [legal css2 value]url  -I thought it was a css3 thing. I don\'t know why you want to use different colors in these circumstances," but I think the right thing is to specify the same color you want in all cases or don\'t use the shorthand notation or don\'t use the compass mixin.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,8,2011-03-26 22:48:16,24.52,1,,,"b'b"" Here is an example. Consider invalid form items. With CSS3 browsers", Icould use a semitransparent background gradient (maybe the page has a background) or box-shadow to differentiate it, butneed to do something else for CSS2 browsers. A light red backgroundwould be the way to do that. So now you have a case where thebackground color needs to be different for different browsers and thismixin becomes unusable. Which is sad, because it\'s fantastically_useful._ On Monday, March 28,2011," chriseppsteinreply@wrote:##  Alan Hogan""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,9,2011-03-26 22:48:16,78.68,,1,,"b'b"" @alanhogan", I think you should install modernizr and scope your rules according to feature detection or do one of the other remedies I discussed above. This mixin has a very clear and concise behavior and I think your needs are not common. If you look at the implementation of this mixin you\'ll see it\'s not doing a whole lot," please take its guts and modify them for your needs on your projects.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,10,2011-03-26 22:48:16,1187.98,,1,,"b'b"" It\'s actually a very common use case", and I had also assumed that the background mixin would work with it. Sometimes the color I use with a gradient will not work as a legible color without the gradient. Modernizr is certainly an option," but @alanhogan\'s approach is the accepted CSS best-practice and I\'m actually not clear on why the background mixin would output that first line in any case. That line is so different from what was input that I don\'t know why I would ever want it. Can you explain why it\'s there?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,11,2011-03-26 22:48:16,427.33,1,,,"b'b"" The source of the first line is compass\'s attempt to create a fallback value for css2 browsers. Maybe compass is doing too much here", but I thought we\'d go a little deeper down this rabbit hole before we turn back," so I made a new compass function called that you can use to pass a value and a css2 fallback as a single value. If people hate this then we can stop trying to be smart. So now if you pass this: You\'ll get this:  ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,12,2011-03-26 22:48:16,6.28,,,1,"b'b"" I think that yes", Compass is doing too much in the initial approach. Because what it is doing is not a default behavior and not a reliable fallback behavior.  Now this, on the other hand, is an interesting proposal. I would adjust it a bit, because I\'m not sure why both values are being passed to the function. I\'d keep everything explicit and run it like this: and then that css2 fallback line would only appear in the css if it is passed the css2-fallback() function, and I would pass it exactly what the function has been given. Less magic," even more function.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,reopened,2011-03-30 21:23:31,1038.83,3,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,13,2011-03-26 22:48:16,14.1,,1,,"b""b' The reason that it takes two values is that transparent would be in the output otherwise"," conceptually they are a single value with different representations in different contexts.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,14,2011-03-26 22:48:16,6.23,1,,,"b""b' Closed by f2ceec4680a2305bf716c5eba2fbc52768ff721e. Try this and let me know if you hate it and would rather manage legacy browsers outside of the css3 mixins.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,closed,2011-03-30 21:39:25,15.9,4,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,15,2011-03-26 22:48:16,9.57,,1,,"b'b"" That makes some technical sense in the background", but it just doesn\'t match how these tools are used or the expected behavior of either Compass or CSS. In reality I want completely separate control of my fallback, and I will probably even write it at a different time (durring browser-testing). It makes more sense to me that I would write my css2 shorthand and my css3 shorthand each once, separately, rather than duplicating each sub-property along with its fallback in one long mixed css2 and css3 combined list. This is all too magic for my taste, with Compass trying to determine what I want as a fallback and I have to override if I want something else. It just isn\'t reliable, and doesn\'t follow the way we are used to writing CSS. If we want to add the ability for my css2 fallback to be passed in the same mixin as my css3, but as its own list, I can get behind that but don\'t care much. Otherwise," I\'d take it out entirely. ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,16,2011-03-26 22:48:16,46.25,,,1,"b'b"" I agree with you on a certain level. I can see how this would get in the way for users like yourself"," but I think it\'s a pretty good behavior for n00bies who don\'t really grok the whole progressive enhancement concept yet. What if we added a config variable to turn off css2 fallbacks in the css3 module?  ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,17,2011-03-26 22:48:16,5.3,1,,,"b'b"" you might be right", and that solution would be acceptable for what I need, but my experience with n00bies is that they are actually even more confused with magic solutions than I am especially when the abstraction is so leaky. They will expect a solution that is fool-proof or none at all. I don\'t think we can do foolproof," so I vote for none.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,18,2011-03-26 22:48:16,26.03,1,,,"b'b"" It\'s annoying that you\'re right.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,reopened,2011-03-30 23:07:42,88.28,6,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,19,2011-03-26 22:48:16,72.67,,1,,"b""b' Chris", I sympathize with your intention and the disappointment that comes with a good idea being perhaps less than ideal in practice. All I can say is," thanks for caring so much and listening so well.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,20,2011-03-26 22:48:16,1.63,,,1,"b""b' Also", I thought I was replying by email, but I don\\xe2\\x80\\x99t see my comments here. Basically," I think @ericam expressed a lot of my own views very well (thanks).'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,21,2011-03-26 22:48:16,1102.58,,1,,"b'b"" I\'m not quite sure how to handle the v0.11 early adopters of the new css3 mixins. If they are already relying on the fallback behavior. Any suggestions?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,22,2011-03-26 22:48:16,1327.42,,,1,"b'b"" I\'d guess at this point anyone adopting the Beta will see a note in the next changelog and make the appropriate adjustments. That\'s the beauty of Beta. Or maybe I\'m just a hard-hearted developer. ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,23,2011-03-26 22:48:16,11.35,1,,,"b'b"" I moved the simple bg support to a new mixin called background-with-css2-fallback which has the same behavior as the current bg mixin. The release notes mention this"," but those who didn\'t adopt the prerelease will be none the wiser. I\'ll push this change in a little bit. ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,24,2011-03-26 22:48:16,509.23,,1,,"b""b' That sounds like the best way forward to me.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,25,2011-03-26 22:48:16,1194.82,,1,,"b""b' closed by: 0eef08e6ce664d5d905928c7a7c4e66f80e5e8c7'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,closed,2011-04-12 21:24:42,1337.0,7,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,26,2011-03-26 22:48:16,1344.83,,,1,"b""b' I\\xe2\\x80\\x99m really glad to see this fixed\\xe2\\x80\\xa6 I recently noticed my IE visitors were seeing white text on white background in my site header", with this issue as the cause (despite my creation of a fallback color in the source SCSS) \\xe2\\x80\\x94\\xc2\\xa0updating to the latest beta (or specifying a color for the images model) fixed my issue.  You did the right thing here," Chris.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,309,closed,-,-,-,7,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,328,closed,opened,2011-04-05 11:20:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,328,closed,title,2011-04-05 11:20:29,00:00,,1,,"b""b' How to setup offline documentation?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
