REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,229,closed,opened,2012-06-04 21:22:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,229,closed,title,2012-06-04 21:22:25,00:00,,1,,"b""b' New icons: toggle  switch'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,229,closed,body,2012-06-04 21:22:25,00:00,,1,,"b'b"" I would like to suggest \'toggle on\' and \'toggle off\' icons to be used in conjunction with the btw-group. At the moment I use capital o and capital i for this as below but I think it could look better.  ""'",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,229,closed,1,2012-06-04 21:22:25,192.07,,1,,"b""b' There are better plugins for Bootstrap toggle. Closing.'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,229,closed,closed,2013-03-29 00:34:30,192.08,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,229,closed,reopened,2014-08-26 02:42:58,128.47,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,229,closed,2,2012-06-04 21:22:25,128.82,,1,,"b""b' I actually just added these to 4.2.0-wip branch. Closing again.'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,229,closed,closed,2014-08-26 02:43:18,0.33,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,229,closed,3,2012-06-04 21:22:25,343.73,,1,,"b'b"" @davegandy I actually didn\'t get this request. Is it about documentation?""'",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,229,closed,4,2012-06-04 21:22:25,1107.0,,,1,"b'b\' Why the outline for ""off""? Why not just a mirror of the ""on"" version? In smaller versions","off"" looks like two ""O""s. It seems to me that in the wild, on and off are differentiated by color and not outline. Transforming ""on"" by rotating 180 degrees is imperfect, as it\\\'s difficult to get the alignment perfectly.\''
Font-Awesome	229	closed	-	-	-	-	0	5	1
Font-Awesome	232	closed	opened	rodrigopandini	2012-06-05 02:15:53
Font-Awesome	232	closed	title	rodrigopandini	2012-06-05 02:15:53	00:00		+1		b""b' Request: Overline Icon'",,,,,,,,,,,,,,,,,,,,,,
