REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shiny,200,closed,2,2013-07-11 21:12:12,101.5,,1,,"b'b"" I\'m not sure the patch fixed everything. In the shiny dashboarding examples"," we both use the code  which no longer works (so both were producing a flat line). Only after changing to  did it work properly again.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shiny,200,closed,reopened,2013-07-20 01:12:08,101.52,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shiny,200,closed,3,2013-07-11 21:12:12,210.85,,,1,"b'b"" @trestletech Are you sure you\'re using the latest version", 15d62d4? With this version, the dashboard works fine for me. When I checkout the commit prior to the fix, 0a4250f, the dashboard doesn\'t work. In both cases," this is with  .""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
shiny,200,closed,4,2013-07-11 21:12:12,449.97,1,,,"b'b"" Weird. I thought I was on the most recent devel version"," but I\'m unable to repro. I\'ll close this until  I can get a real bug report in.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shiny,200,closed,closed,2013-07-22 12:12:57,660.82,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shiny,200,closed,-,-,-,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shiny,206,closed,opened,2013-07-29 10:32:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shiny,206,closed,title,2013-07-29 10:32:23,00:00,,1,,"b""b' checkboxes reactive after ()'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shiny,206,closed,body,2013-07-29 10:32:23,00:00,,1,,"b'b"" checkboxes don\'t automatically get assigned shiny-bound-input class and don\'t seem to have a binding: .data(\'shiny-input-binding\') I haven\'t looked deeper into the code"," but the result is that calling () still reacts to changes for checkboxes""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shiny,206,closed,1,2013-07-29 10:32:23,419.45,1,,,"b'b"" A little more info: the checkboxes work even when hasn\'t been called the event handler for checkboxes isn\'t attached to the individual item. For example", at url  , the select input has an event handler attached to it when it\'s subscribed, while the checkbox does not. In the Javascript console: I think this is because of  . This function is supposed to pick out older-style radio buttons and checkbox groups, and _not_ standalone checkboxes, but it is mistakenly picking out the latter. If the is fixed to not pick out standalone checkboxes," it may be necessary to add and methods to the  . Another possible solution is to make actually unbind things bound via  .""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
