REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,100,closed,2,2014-11-11 17:28:12,126.17,,,1,"b'b"" Thank you for reporting this issue and appreciate your patience. We\'ve  notified the core team for an update on this issue. We\'re looking for a response within the next 30 days or the issue may be closed.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,100,closed,3,2014-11-11 17:28:12,24.58,,,1,"b'b"" Thank you for your patience. We\'re going to close out this issue. If you\'re still experiencing the problem described"," please reopen the issue thanks!""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,100,closed,closed,2015-06-04 18:55:22,87.17,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,100,closed,4,2014-11-11 17:28:12,3.68,,1,,"b""b' I would appreciate a more constructive feedback for my initial suggestion.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,100,closed,5,2014-11-11 17:28:12,1392.12,1,,,"b""b' Hello!  This is a human.  My previous comment on this issue was a robot running amok.  I apologize that the issue was closed"," and am re-opening it.  Thanks for your help with our folly project and for your understanding about rogue robots trying to take over the world.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,100,closed,reopened,2015-06-05 18:11:09,1395.78,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,100,closed,6,2014-11-11 17:28:12,271.93,1,,,"b'b"" Sorry about the bot", and the bot response claiming to be human.  I just took the project over and among other things have turned that bot off (I hope). Anyway, wrt to this issue... yeah... I\'d like to, but it\'s a GPL," so... yeah.I\'ll see if I can cobble together a FreeBSD VM and come up with a useful configure script that gets the job done.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,100,closed,7,2014-11-11 17:28:12,133.23,,1,,"b'b"" This isn\'t likely to be done by us", but if anyone wants to contribute one," it will probably be accepted.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,100,closed,closed,2016-10-12 00:56:19,405.17,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,100,closed,-,-,-,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,106,closed,opened,2014-12-08 02:48:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,106,closed,title,2014-12-08 02:48:57,00:00,,1,,"b""b' Failing to Compile on FreeBSD'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,106,closed,body,2014-12-08 02:48:57,00:00,,1,,"b""b'  I get this error"," any ideas on how to resolve this on BSD '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,106,closed,1,2014-12-08 02:48:57,818.9,,1,,"b""b' Suggest the following fix:  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,106,closed,2,2014-12-08 02:48:57,59.05,,1,,"b""b' Does anything speaks against this?  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,106,closed,3,2014-12-08 02:48:57,5.5,,1,,"b'b"" I\'m always conservative"," but I don\'t mind.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
