REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,26,2010-10-04 17:24:31,962.12,,,1,"b""b' @hbons thanks it works just for curiosity I created a fresh hg and git repo added them with sparkleshare and then droped a 729MB folder with 46 items (compressed and uncompressed files).  Both times it took almost exactly 4minutes to complete the sync. Seemed to be limited by my server CPU (its a low power AMD E-350). The actual transfer was pretty fast over gigabit ethernet. I figured it would be interesting to compare hg and git but they turned out to be pretty similar. '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,27,2010-10-04 17:24:31,1011.37,,1,,"b""b' @lgordon? 4 minutes? not bad at all :)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,28,2010-10-04 17:24:31,1153.32,,1,,"b""b' @lgordon i implemented event log support based on the command you gave me. can you check if it works?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,29,2010-10-04 17:24:31,1164.05,,1,,"b""b' @hbons its not perfect at first glance its missing the user name (which is in the output from the log command) but i compared it to the git log support for the same uploaded folder and the git is much more detailed"," see here: url  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,30,2010-10-04 17:24:31,1189.1,,1,,"b""b' is the file list the same as running the hg log command?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,31,2010-10-04 17:24:31,1201.05,,1,,"b""b' nope many more files in the log here is the output: **it seems the stat option has a big overhead and is really slow"," it might not actually be needed since it only tells you what changed lyle@lyle-VGN-Z590N:~/$ hg log style changelog verbose2011-05-23 15:33 -0500  Lyle Gordon  lgordon@  (14d6a60fbaf0 [tip]) 2011-05-23 15:33 -0500  Lyle Gordon  lgordon@  (c088b3326883) 2011-05-23 15:33 -0500  Lyle Gordon  lgordon@  (f4fae31a0486) 2011-05-23 11:52 -0500  Lyle Gordon  lgordon@  (a9db5bbeb71a) 2011-05-23 11:51 -0500  Lyle Gordon  lgordon@  (6153d44328f3) 2011-05-23 11:50 -0500  Lyle Gordon  lgordon@  (5731a2008649)  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,-,-,-,1,23,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,26,closed,opened,2011-02-07 13:14:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,26,closed,title,2011-02-07 13:14:51,00:00,,1,,"b""b' interact with Gnome keyring for encrypted keys  reuse existing ssh agent'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,26,closed,body,2011-02-07 13:14:51,00:00,,1,,"b""b' possibly SSH_AUTH_SOCK variable not set(tested on Ubuntu 10.10"," sparkleshare 0.2+git20110130~ppa1 )'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
