REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,760,closed,5,2011-03-31 13:34:38,1195.4,1,,,"b""b' I tried to reproduce the bug according to the hint in the mailinglist thread without success. Can anybody reproduce the bug and provide a TestCase OR a guide to reproduce this with the current develop branch?It seems that django-reversion could be the reason but we really need a prove to fix this annoying issue.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,760,closed,6,2011-03-31 13:34:38,509.22,,1,,"b""b' Okay", whoever fixes this bug (once and for all), including tests," will get 100 USD via Paypal from me.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,760,closed,7,2011-03-31 13:34:38,2.52,,1,,b'b\' And just to repeat what I said on the mailing list," the problem here is not the ""Index out of range"" but the fact that the MPTT tree breaks somewhere", causing pages to have a parent_id but no (mptt-) ancestors. A proper fix for this will prevent the tree from breaking.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,760,closed,8,2011-03-31 13:34:38,974.18,,1,,"b""b' +50$ for the bounty (my personal money)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,760,closed,closed,2011-08-02 14:14:17,39.65,3,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,760,closed,reopened,2011-08-02 14:15:50,1.55,3,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,760,closed,9,2011-03-31 13:34:38,1400.12,,,1,"b""b' NOT fixed by the commit linked there!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,760,closed,10,2011-03-31 13:34:38,1246.5,1,,,"b'b"" Is there an argument that plugins should behave like template variables and avoid raising errors at all? Perhaps this type of error should be caught and an error message displayed for staff users", but nothing displayed for other visitors? I\'ve had similar problems with plugins where some instance which is referred to gets deleted without a proper cascade occurring to clean up. In fact," the inherit plugin is particularly bad at this \\xe2\\x80\\x93 I\'ll file a separate issue for that.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,760,closed,11,2011-03-31 13:34:38,561.1,,1,,"b""b' While this is probably still an open issue"," I feel myself forced to push this to 2.3. '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,760,closed,12,2011-03-31 13:34:38,802.35,1,,,"b""b' Theres a bad weekend of weather here this weekend. Im going to look at this with django-cms 2.2 and django1.3 to see if I can replicate and try and help a bit more.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,760,closed,13,2011-03-31 13:34:38,121.05,,1,,"b""b' django = 1.3.1djang-cms = 2.1.4 Final make this error on sqlite3 and mysql when updating a page update to djano-cms = 2.2  everything is all right'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
