REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,165,closed,body,2011-08-19 14:49:41,00:00,1,,,"b'b"" I\'m developing a B2B eCommerce platform", and ran into this issue yesterday.  I need to ensure that certain controllers always use SSL, and so wrote a helper function to force it: This works like a charm.  However, I quickly discovered that forms that appear in these controllers weren\'t working.  The form action was often defined using current_url(), or site_url($some_uri_string), or merely $some_uri_string.  All of these URIs get processed through $CI->config->site_url().  The problem is, this function //always// builds URIs beginning with http.  In the case of forms, POSTed data is lost during the redirect. To get around this I overwrote current_url() like so, and changed all the form actions to use it: This works," but ideally a developer wouldn\'t have to do this.  Ignoring the possibility of https seems like a major oversight for CodeIgniter\'s core URI-string resolver.  It ought to be easy to switch between http and https and vice versa.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,165,closed,closed,2011-08-20 16:59:32,129.85,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,165,closed,1,2011-08-19 14:49:41,1166.9,,1,,"b'b\' How does the CSRF commit by gaker close this issue? Does current_url() still always return ""url "" ?\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,165,closed,reopened,2012-03-02 18:18:22,78.83,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,165,closed,2,2011-08-19 14:49:41,483.18,,1,,"b'b"" @aphofstede Most likely a mistake as I don\'t see anything related to this issue in the referenced commit thanks for noting it.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,165,closed,3,2011-08-19 14:49:41,46.18,,1,,"b'b\' No problem.Note: We worked around it by setting ""base_url"" in the config to url  and referencing that one for our own url mangling.\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,165,closed,4,2011-08-19 14:49:41,824.38,,1,,"b'b"" I guess the question really is do we want the protocol detection or not. I\'d say yes. @philsturgeon @alexbilbie ?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,165,closed,5,2011-08-19 14:49:41,420.62,,1,,"b""b' If you use https to load the page", the links will be built with https. If you link to assets with a relative path they will be https," and if your asset lib uses the base_url then you will still be using https. Whats the problem here? Forcing SSL should be done on a server  config level not PHP.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,165,closed,6,2011-08-19 14:49:41,12.23,,1,,"b""b' I think it should use protocol-relative urls. Eg // That way"," it just works either way.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,165,closed,7,2011-08-19 14:49:41,3.67,,1,,"b'b"" @philsturgeon There is indeed HTTPS detection in  ", but it only runs if is empty. But if I set it as _url  or _url  this will always be what returns, regardless of the protocol that I\'ve used to access the page.The latter would work as forced SSL via config (as you\'ve said it should be done) and it\'s why I wondered if we would want this new functionality. What would be new is that would always detect which one is used currently," so that it never returns _https_ when we\'re not using encryption and vice-versa.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,165,closed,8,2011-08-19 14:49:41,1.33,,1,,"b""b' @timw4mail That might not be handled properly by all browsers.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,165,closed,9,2011-08-19 14:49:41,3.22,,1,,"b'b"" @narfbg I\'m pretty sure it is. I\'m pretty sure it\'s older than Netscape.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,165,closed,10,2011-08-19 14:49:41,2.03,,1,,"b""b' See: url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,165,closed,11,2011-08-19 14:49:41,124.77,,,1,"b""b' No need", pyro (and of course codeigniter) just uses whatever you are using. No need to get fancy about it. Emailing from my iPhone 4S like a BOSS! On 21 Jun 2012, at 11:03," Timothy Warrenreply@ wrote:'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,165,closed,12,2011-08-19 14:49:41,38.03,1,,,"b'b"" @philsturgeon It\'s not fancy. When you specify the domain name"," it takes the nonsense about having to determine the protocol. ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
