REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,
Sick-Beard,316,closed,reopened,2012-02-29 00:23:32,0.2,1,1,0,,,,,,,,,,,,,
Sick-Beard,316,closed,1,2012-02-28 20:09:45,517.75,,1,,"b""b' This defeats the whole purpose of the auto redirect. Instead of actually fixing the problem with using a proxy you just made it so it only works with localhost and nothing else.'""",,,,,,,,,,,,
Sick-Beard,316,closed,2,2012-02-28 20:09:45,38.1,1,,,"b""b' I agree", this code is bad. But I think the auto redirect needs to be thought about again. If anyone is using a proxy to connect to sickbeard(so not using the sbHost hostname) on every restart they will be redirected to the sbHost which fails. Building the sbHost url from config variables seems like a bad idea," it should be done from the global vars.'""",,,,,,,,,,
Sick-Beard,316,closed,closed,2012-02-29 18:33:06,1089.57,2,2,0,,,,,,,,,,,,,
Sick-Beard,316,closed,-,-,-,2,2,0,,,,,,,,,,,,,
Sick-Beard,326,closed,opened,2012-03-07 00:20:23,,,,,,,,,,,,,,,,,
Sick-Beard,326,closed,title,2012-03-07 00:20:23,00:00,,1,,"b""b' Ignore failed downloads'""",,,,,,,,,,,,
Sick-Beard,326,closed,body,2012-03-07 00:20:23,00:00,,1,,"b'b"" So", here\'s a patch that tracks in the history database when a download fails. (Based on it starting with _FAILED_ during post-processing). Additionally, there\'s a setting on the post-processing page that determines whether or not failed downloads are deleted after being marked. The initial database update takes foreeever, though. Can\'t do an update table when adding a primary key," unfortunately.""'",,,,,,,,
Sick-Beard,326,closed,closed,2012-03-07 01:29:48,69.42,0,2,0,,,,,,,,,,,,,
Sick-Beard,326,closed,1,2012-03-07 00:20:23,69.63,,1,,"b""b' Almost ready'""",,,,,,,,,,,,
Sick-Beard,326,closed,2,2012-03-07 00:20:23,162.65,,1,,"b""b' you should refer to the custom_naming branch. we modified the db slightly and store original release name and sizes of release.'""",,,,,,,,,,,,
Sick-Beard,326,closed,3,2012-03-07 00:20:23,622.28,,1,,"b""b' Would you rather I do that? This is functional but for a few specific cases"," and this is the most popular and oldest issue open on Google Code. The sooner this features is added to master the better.'""",,,,,,,,,,,
Sick-Beard,326,closed,4,2012-03-07 00:20:23,14.47,,1,,"b""b' I was just saying"," that we already modify the db to include some info that you may find useful for your feature implementation. Also you can see how to handle db migrations and config upgrades. custom_naming is almost done and will be merged into master.. thus your current pull request would have to be rebased.'""",,,,,,,,,,,
Sick-Beard,326,closed,5,2012-03-07 00:20:23,324.98,,,1,"b'b"" I\'ll check it out"," thanks.""'",,,,,,,,,,,
Sick-Beard,326,closed,6,2012-03-07 00:20:23,477.8,,1,,b'b\' It\\\'s crashing with the following," so I\\\'m just going to continue with my patch as it is. File ""/-""", line 159," in _processUpgrade  ()  File ""/-""", line 420," in execute  if not int(cur_ep[""file_size""]) and ("," cur_ep[""location""]):  File ""/-""", line 56, in ek  result = func(*[() if type(x) in (str, unicode) else x for x in args])UnicodeEncodeError: \\\'latin-1\\\' codec can\\\'t encode character u\\\'\\\\u20ac\\\' in position 131: ordinal not in range(256)\'',,,
Sick-Beard,326,closed,reopened,2012-03-09 16:05:30,875.7,0,7,1,,,,,,,,,,,,,
Sick-Beard,326,closed,closed,2012-03-09 16:05:39,0.15,0,7,1,,,,,,,,,,,,,
Sick-Beard,326,closed,-,-,-,0,7,1,,,,,,,,,,,,,
