REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,
httpie,78,open,9,2012-07-26 23:52:27,367.12,1,,,"b""b' @lastcoolnameleft yes"," I was just bookmarking that spec. Sorry for the confusion.'""",,,,,,,,,,,,,,,,,,,,
httpie,78,open,10,2012-07-26 23:52:27,565.65,,1,,"b""b' Hi", I am not sure to understand," how do you provided nested json object with Httpie'""",,,,,,,,,,,,,,,,,,,
httpie,78,open,11,2012-07-26 23:52:27,137.95,1,,,"b""b' I would prefer javascript compatible syntax"," so and the more complex syntax for embedded dots:  . The common use case should be easiest and json properties with dots are ugly to use in javascript.'""",,,,,,,,,,,,,,,,,,,,
httpie,78,open,12,2012-07-26 23:52:27,432.87,,1,,"b'b"" any updates on this issue? I\'d also prefer what @akvadrako suggested""'",,,,,,,,,,,,,,,,,,,,,
httpie,78,open,13,2012-07-26 23:52:27,462.35,,,1,"b""b' agree that this would be very welcome. '""",,,,,,,,,,,,,,,,,,,,,
httpie,78,open,14,2012-07-26 23:52:27,826.03,,,1,"b'b"" @jakubroztocil This issue has been open for 6 years! And it is such a rudimentary feature! Of course", we can all do  , but we can use as well, right? The point is that does all the basic REST operations. Of course, we can use it along with [jarg]url  or [jo]url  but it\'s so easy to implement this within  ," I think!""'",,,,,,,,,,,,,,,,
httpie,78,open,15,2012-07-26 23:52:27,873.32,,,1,"b""b' I don\\xe2\\x80\\x99t think it\\xe2\\x80\\x99s that simple"," or someone would have sent a pull request!  We should appreciate projects written on free time and given for free.'""",,,,,,,,,,,,,,,,,,,,
httpie,78,open,16,2012-07-26 23:52:27,887.8,,,1,"b""b' @merwork We appreciate it. But how many REST services you know to have only a flat JSON?'""",,,,,,,,,,,,,,,,,,,,,
httpie,78,open,17,2012-07-26 23:52:27,888.48,,,1,"b""b' Many that I write :)  Thanks for the pointers to jarg and jo!  Goes well in my json toolbox with jq and gron.'""",,,,,,,,,,,,,,,,,,,,,
httpie,78,open,-,-,-,2,8,9,,,,,,,,,,,,,,,,,,,,,,
httpie,85,closed,opened,2012-08-15 02:28:01,,,,,,,,,,,,,,,,,,,,,,,,,,
httpie,85,closed,title,2012-08-15 02:28:01,00:00,1,,,"b""b' Installation on Windows fails bad character in ?'""",,,,,,,,,,,,,,,,,,,,,
httpie,85,closed,body,2012-08-15 02:28:01,00:00,1,,,"b'b"" When running  (doesn\'t matter how) with Python 3.2.3 I get a error. A bad character perhaps in . I got past it and installed by commenting out the open.  ""'",,,,,,,,,,,,,,,,,,,,,
httpie,85,closed,closed,2012-08-16 01:11:29,1363.47,2,0,0,,,,,,,,,,,,,,,,,,,,,,
httpie,85,closed,1,2012-08-15 02:28:01,1371.92,,,1,"b""b' It should be fixed in master now. You can try installing it with: Thanks for the report!'""",,,,,,,,,,,,,,,,,,,,,
